download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-37m-30s;€;BRI;50;11.2;FCO;Ryanair;18:20;1;1;7:10;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;55;5.8;FCO;TAP AIR PORTUGAL;13:25;1;1;7:35;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;55;16.3;FCO;TAP AIR PORTUGAL;10:55;1;1;18:35;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;55;18.2;FCO;TAP AIR PORTUGAL  - Portugalia opera el vuel;10:55;1;1;16:40;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;STN;57;15.8;CIA;Ryanair;9:55;1;1;18:05;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;57;24.8;FCO;TAP AIR PORTUGAL  - Portugalia opera el vuel;10:55;1;1;10:05;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CRL;58;16.3;CIA;Ryanair;22:55;1;1;6:35;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;5.5;FCO;Air France;23:15;1;1;17:45;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;5.8;FCO;Air France;23:15;1;1;17:30;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;6.4;FCO;Air France;19:05;1;1;12:40;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;6.8;FCO;Air France;16:50;1;1;10:00;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;9.1;FCO;Air France;19:05;1;1;10:00;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;10.6;FCO;Air France;23:15;1;1;12:40;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;13.2;FCO;Air France;23:15;1;1;10:00;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;BRU;61;13.8;FCO;Ryanair;23:50;1;1;10:05;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;15.7;FCO;Air France;9:25;1;1;17:45;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;61;15.9;FCO;Air France;9:25;1;1;17:30;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;OTP;62;14;CIA;Wizz Air / Ryanair;11:05;1;1;21:05;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;62;16.6;FCO;Air France;23:15;1;1;6:40;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;62;20.8;FCO;Air France;9:25;1;1;12:40;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;CDG;62;23.4;FCO;Air France;9:25;1;1;10:00;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;5.1;FCO;TAP AIR PORTUGAL;23:40;1;1;18:35;dom;MAD;26-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;5.1;FCO;TAP AIR PORTUGAL;23:40;1;1;18:35;lun;MAD;27-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;5.1;FCO;TAP AIR PORTUGAL;23:40;1;1;18:35;jue;MAD;23-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;5.1;FCO;TAP AIR PORTUGAL;23:40;1;1;18:35;mar;MAD;28-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;5.8;FCO;TAP AIR PORTUGAL;13:25;1;1;7:35;dom;MAD;26-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;5.8;FCO;TAP AIR PORTUGAL;13:25;1;1;7:35;mié;MAD;22-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;5.8;FCO;TAP AIR PORTUGAL;13:25;1;1;7:35;mar;MAD;28-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;5.8;FCO;TAP AIR PORTUGAL;13:25;1;1;7:35;vie;MAD;24-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;6.5;FCO;TAP AIR PORTUGAL;18:45;1;1;12:15;mié;MAD;22-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;7;FCO;TAP AIR PORTUGAL  - Portugalia opera el vuel;23:40;1;1;16:40;dom;MAD;26-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;7;FCO;TAP AIR PORTUGAL;23:40;1;1;16:40;mié;MAD;22-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;7;FCO;TAP AIR PORTUGAL;23:40;1;1;16:40;lun;MAD;27-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;7;FCO;TAP AIR PORTUGAL  - Portugalia opera el vuel;23:40;1;1;16:40;jue;MAD;23-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;LIS;63;8.7;FCO;TAP AIR PORTUGAL;18:45;1;1;10:05;mié;MAD;22-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
