;download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
68;23-09-2017-20h-54m-24s;€;;28.0;2.6;MAD;Ryanair;19:10;0;1;16:35;sáb;CIA;2-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
69;23-09-2017-20h-37m-30s;€;;28.0;2.5;CIA;Ryanair;16:10;0;1;13:40;dom;MAD;26-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
70;23-09-2017-20h-25m-08s;€;;28.0;2.5;CIA;Ryanair;20:25;0;1;17:55;sáb;MAD;11-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
71;23-09-2017-20h-37m-30s;€;;28.0;2.5;CIA;Ryanair;20:25;0;1;17:55;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
72;23-09-2017-20h-46m-30s;€;;28.0;2.6;MAD;Ryanair;23:25;0;1;20:50;jue;CIA;23-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
73;23-09-2017-20h-46m-30s;€;;28.0;2.6;MAD;Ryanair;19:10;0;1;16:35;lun;CIA;27-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
74;23-09-2017-20h-46m-30s;€;;28.0;2.6;MAD;Ryanair;19:10;0;1;16:35;vie;CIA;24-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
75;23-09-2017-21h-00m-01s;€;;28.0;2.5;CIA;Ryanair;16:10;0;1;13:40;vie;MAD;15-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
76;23-09-2017-21h-00m-01s;€;;28.0;2.5;CIA;Ryanair;9:00;0;1;6:30;vie;MAD;15-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
77;23-09-2017-20h-25m-08s;€;;28.0;2.5;CIA;Ryanair;16:10;0;1;13:40;vie;MAD;10-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
78;23-09-2017-20h-37m-30s;€;;28.0;2.5;CIA;Ryanair;9:00;0;1;6:30;lun;MAD;27-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
79;23-09-2017-20h-39m-45s;€;;28.0;2.6;MAD;Ryanair;12:00;0;1;9:25;mié;CIA;15-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
80;23-09-2017-20h-39m-45s;€;;28.0;2.6;MAD;Ryanair;12:00;0;1;9:25;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
81;23-09-2017-20h-54m-24s;€;;28.0;2.6;MAD;Ryanair;23:25;0;1;20:50;sáb;CIA;2-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
82;23-09-2017-20h-42m-00s;€;;28.0;2.5;CIA;Ryanair;9:05;0;1;6:35;jue;MAD;26-10;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible
83;23-09-2017-20h-25m-08s;€;;28.0;2.5;CIA;Ryanair;9:00;0;1;6:30;dom;MAD;12-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
84;23-09-2017-20h-25m-08s;€;;28.0;2.5;CIA;Ryanair;16:10;0;1;13:40;lun;MAD;13-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
85;23-09-2017-20h-39m-45s;€;;28.0;2.6;MAD;Ryanair;23:25;0;1;20:50;jue;CIA;16-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
86;23-09-2017-20h-54m-24s;€;;28.0;2.6;MAD;Ryanair;12:00;0;1;9:25;dom;CIA;3-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
