;arrival_airport_1;date_0;duration_0;depart_airport_0;price;date_1;duration_1;depart_time_1;day_week_0;download_date;number_destinations;link;depart_airport_1;currency;stops_0;number_stops_0;stops_1;number_stops_1;airlines;arrival_time_0;depart_time_0;arrival_airport_0;arrival_time_1;day_week_1
20;FCO;24-11;2.6;FCO;92.0;26-11;5.1;18:35;vie;11-10-2017 15:17:48;2;https://www.kayak.es/flights/ROM-MAD/2017-11-24/2017-11-26;MAD;€;;0;LIS;1;Vueling / TAP AIR PORTUGAL;22:20;19:45;MAD;23:40;dom
21;CIA;10-11;2.6;FCO;92.0;12-11;2.5;13:40;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Vueling / Ryanair;22:20;19:45;MAD;16:10;dom
22;CIA;17-11;2.6;CIA;94.0;19-11;2.5;17:55;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Ryanair;19:10;16:35;MAD;20:25;dom
23;CIA;10-11;2.6;CIA;94.0;12-11;2.5;13:40;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Ryanair;19:10;16:35;MAD;16:10;dom
24;CIA;17-11;2.6;CIA;94.0;19-11;2.5;17:55;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Ryanair;12:00;9:25;MAD;20:25;dom
25;CIA;17-11;2.6;FCO;95.0;19-11;2.5;17:55;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Vueling / Ryanair;22:20;19:45;MAD;20:25;dom
26;FCO;17-11;2.6;FCO;95.0;19-11;2.4;16:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Vueling;22:20;19:45;MAD;19:00;dom
27;FCO;17-11;2.6;CIA;97.0;19-11;13.8;21:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;23:25;20:50;MAD;10:55;dom
28;FCO;17-11;2.6;CIA;97.0;19-11;18.2;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;23:25;20:50;MAD;10:55;dom
29;FCO;17-11;2.6;CIA;97.0;19-11;16.3;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;23:25;20:50;MAD;10:55;dom
30;CIA;26-10;13.0;FCO;97.0;2-11;2.5;13:40;jue;11-10-2017 15:22:50;2;https://www.kayak.es/flights/ROM-MAD/2017-10-26/2017-11-02;MAD;€;IBZ;1;;0;Ryanair;23:30;10:30;MAD;16:10;jue
31;FCO;17-11;2.6;CIA;97.0;19-11;18.8;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;23:25;20:50;MAD;13:25;dom
32;CIA;24-11;11.8;CIA;97.0;26-11;2.5;6:30;vie;11-10-2017 15:17:48;2;https://www.kayak.es/flights/ROM-MAD/2017-11-24/2017-11-26;MAD;€;OTP;1;;0;Ryanair;18:20;6:30;MAD;9:00;dom
33;FCO;24-11;2.6;FCO;97.0;26-11;5.8;7:35;vie;11-10-2017 15:17:48;2;https://www.kayak.es/flights/ROM-MAD/2017-11-24/2017-11-26;MAD;€;;0;LIS;1;Vueling / TAP AIR PORTUGAL;22:20;19:45;MAD;13:25;dom
34;FCO;17-11;2.6;FCO;97.0;19-11;16.3;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Vueling / TAP AIR PORTUGAL;22:20;19:45;MAD;10:55;dom
35;FCO;17-11;2.6;CIA;97.0;19-11;20.8;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;23:25;20:50;MAD;13:25;dom
