;date_0;download_date;arrival_time_0;depart_time_0;price;number_destinations;duration_0;currency;day_week_0;arrival_airport_0;link;stops_0;number_stops_0;airlines;depart_airport_0
20;21-11;23-09-2017-20h-18m-04s;14:35;8:00;84;1;6.6;€;mar;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;MAD;1;Iberia  - Iberia Express opera el vuel;AMS
21;18-11;23-09-2017-20h-18m-04s;22:10;12:15;84;1;9.9;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;MAD;1;Iberia  - Iberia Express opera el vuel;AMS
22;18-11;23-09-2017-20h-18m-04s;20:10;7:20;85;1;12.8;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;BCN;1;Vueling;AMS
23;18-11;23-09-2017-20h-18m-04s;22:10;8:00;87;1;14.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;MAD;1;Iberia  - Iberia Express opera el vuel;AMS
24;18-11;23-09-2017-20h-18m-04s;11:15;12:15;88;1;23.0;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;MAD;1;Iberia  - Iberia Express opera el vuel;AMS
25;18-11;23-09-2017-20h-18m-04s;19:25;11:30;91;1;7.9;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;MLA;1;Air Malta;AMS
26;18-11;23-09-2017-20h-18m-04s;23:05;12:55;91;1;10.2;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;STN;1;easyJet / Ryanair;AMS
27;20-11;23-09-2017-20h-18m-04s;12:30;7:00;92;1;5.5;€;lun;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;CPH;1;SAS;AMS
28;18-11;23-09-2017-20h-18m-04s;19:15;12:55;93;1;6.3;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;STN;1;easyJet / Ryanair;AMS
29;18-11;23-09-2017-20h-18m-04s;23:05;9:35;95;1;13.5;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;STN;1;easyJet / Ryanair;AMS
30;18-11;23-09-2017-20h-18m-04s;20:10;10:20;95;1;9.8;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;BCN;1;Vueling;AMS
31;18-11;23-09-2017-20h-18m-04s;8:55;18:45;95;1;14.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;BCN;1;Vueling;AMS
32;18-11;23-09-2017-20h-18m-04s;19:15;9:35;95;1;9.7;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;STN;1;easyJet / Ryanair;AMS
33;18-11;23-09-2017-20h-18m-04s;20:00;17:50;95;1;2.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;;0;Alitalia;AMS
34;18-11;23-09-2017-20h-18m-04s;13:50;7:20;95;1;6.5;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;BCN;1;Vueling;AMS
35;18-11;23-09-2017-20h-18m-04s;9:10;7:00;95;1;2.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;;0;Alitalia;AMS
36;18-11;23-09-2017-20h-18m-04s;14:00;11:50;95;1;2.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;;0;Alitalia;AMS
37;18-11;23-09-2017-20h-18m-04s;16:45;9:35;95;1;7.2;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;STN;1;easyJet / Ryanair;AMS
38;18-11;23-09-2017-20h-18m-04s;18:55;15:30;96;1;27.4;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LGW;1;British Airways;AMS
39;20-11;23-09-2017-20h-18m-04s;0:10;21:45;97;1;2.4;€;lun;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;;0;Iberia  - Vueling opera el vuel;AMS
40;18-11;23-09-2017-20h-18m-04s;16:50;9:15;97;1;7.6;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;SKG;1;Transavia / Ryanair;AMS
41;18-11;23-09-2017-20h-18m-04s;10:35;14:45;99;1;19.8;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;CPH;1;SAS;AMS
42;18-11;23-09-2017-20h-18m-04s;10:35;10:25;99;1;24.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;CPH;1;SAS;AMS
43;18-11;23-09-2017-20h-18m-04s;0:25;15:30;100;1;8.9;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LGW;1;British Airways  - Vueling opera el vuel;AMS
